albedo,albedo.png,Albedo.png,albedo,i_7050
aloy,aloy.png,aloy.png,aloy,i_7091
amber,amber.png,Amber.png,amber,i_7003
kamisato ayaka,ayaka.png,Ayaka.png,ayaka,i_7085
kamisato ayato,ayato.png,Ayato.png,ayato,i_7110
barbara,barbara.png,Barbara.png,barbara,i_7009
beidou,beidou.png,Beidou.png,beidou,i_7035
bennet,bennett.png,Bennett.png,bennet,i_7016
childe,tartaglia.png,Tartaglia.png,childe,i_7042
chongyun,chongyun.png,Chongyun.png,chongyun,i_7036
diluc,diluc.png,Diluc.png,diluc,i_7005
diona,diona.png,Diona.png,diona,i_7039
eula,eula.png,Eula.png,eula,i_7065
fischl,fischl.png,Fischl.png,fischl,i_7013
ganyu,ganyu.png,Ganyu.png,ganyu,i_7049
gorou,gorou.png,Gorou.png,gorou,i_7100
hu tao,hutao.png,HuTao.png,hutao,i_7055
arataki itto,itto.png,Itto.png,itto,i_7101
jean,jean.png,Jean.png,jean,i_7008
kaeya,kaeya.png,Kaeya.png,kaeya,i_7010
kaedehara kazuha,kazuha.png,Kazuha.png,kazuha,i_7069
keqing,keqing.png,Keqing.png,keqing,i_7020
klee,klee.png,Klee.png,klee,i_7004
sangonomiya kokomi,kokomi.png,Kokomi.png,kokomi,i_7089
kuki shinobu,unknown.png,Kuki.png,kuki,i_7116
lisa,lisa.png,Lisa.png,lisa,i_7011
mona,mona.png,Mona.png,mona,i_7015
ningguang,ningguang.png,Ningguang.png,ningguang,i_7034
noelle,noelle.png,Noelle.png,noelle,i_7014
qiqi,qiqi.png,Qiqi.png,qiqi,i_7019
razor,razor.png,Razor.png,razor,i_7006
rosaria,rosaria.png,Rosaria.png,rosaria,i_7059
kujou sara,sara.png,Sara.png,sara,i_7090
sayu,sayu.png,Sayu.png,sayu,i_7087
shenhe,shenhe.png,Shenhe.png,shenhe,i_7103
raiden shogun,shougun.png,shogun.png,shogun,i_7088
sucrose,sucrose.png,Sucrose.png,sucrose,i_7012
thoma,thoma.png,Thoma.png,thoma,i_7097
venti,venti.png,Venti.png,venti,i_7007
xiangling,xiangling.png,Xiangling.png,xiangling,i_7017
xiao,xiao.png,Xiao.png,xiao,i_7054
xingqiu,xingqiu.png,Xingqiu.png,xingqiu,i_7018
xinyan,xinyan.png,Xinyan.png,xinyan,i_7041
yae miko,yaemiko.png,Yaemiko.png,yae miko,i_7108
yanfei,feiyan.png,Yanfei.png,yanfei,i_7064
yelan,unknown.png,Yelan.png,yelan,i_7115
yoimiya,yoimiya.png,Yoimiya.png,yoimiya,i_7086
yunjin,yunjin.png,Yunjin.png,yunjin,i_7104
zhongli,zhongli.png,Zhongli.png,zhongli,i_7040
aether,traveler_aether.png,unknown_avatar.png,aether,i_0000
lumine,traveler_lumine.png,unknown_avatar.png,lumine,i_0001
